Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
,,,,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
19 Yrs,19 Yrs,19 Yrs,19 Yrs,,1207,1197,41918,26.4,0.586,0.001,0.578,11.7,23.6,17.8,13.9,0.9,4.6,11.9,29.5,115.4,66.4,181.7,0.208,4.4,0.7,5.1,75.5,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,81,2848,26.4,0.586,0.001,0.578,11.7,23.6,17.8,13.9,0.9,4.6,11.9,29.5,7.8,4.5,12.3,0.208,4.4,0.7,5.1,5.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAL (8 Yrs),LAL (8 Yrs),LAL (8 Yrs),LAL (8 Yrs),,514,509,19329,28.9,0.581,0.001,0.587,11.4,23.8,17.7,16.6,0.9,4.7,10.8,30.9,66,31.1,97,0.241,6.2,0.9,7.1,44.2,
ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),ORL (4 Yrs),,295,293,11164,26.6,0.588,0.002,0.532,13,24.2,18.8,11.8,1.1,4.8,11.5,29.9,30.1,18.2,48.3,0.208,4.4,0.7,5.1,20,
MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),MIA (4 Yrs),,205,203,6378,23.9,0.58,0,0.632,11.8,22.1,17.1,13.6,0.7,4.6,14,29.4,11.2,9.9,21.1,0.159,2.3,0.6,2.9,8,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,103,103,3055,20.7,0.619,0.001,0.635,10.1,24.3,17.6,8.9,1,3.3,15.5,23.4,6,3.4,9.5,0.149,1.2,-0.1,1.1,2.4,
CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,53,53,1240,17.9,0.565,0.002,0.488,9.4,24,17,11.3,0.6,3.9,15.7,25.1,0.9,2.1,3.1,0.119,-1,0.8,-0.2,0.6,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,37,36,752,17.4,0.659,0,0.652,8.3,20.1,14.6,5.9,1.1,4.4,17.8,20.1,1.1,1.6,2.7,0.174,-1.7,2,0.3,0.4,
