Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
44,226,44,1988-02-02,CHI,@,LAL,L 101-110,*,40:00:00,14,26,0.538,0,0,,14,26,0.538,0.538,11,11,1,1,1,2,4,3,1,3,3,39,29.7
45,227,45,1988-02-04,CHI,@,PHO,W 113-101,*,37:00:00,14,27,0.519,0,1,0,14,26,0.538,0.519,9,11,0.818,1,4,5,8,0,1,0,1,37,30.7
46,228,46,1988-02-09,CHI,,DET,L 74-89,*,42:00:00,7,22,0.318,0,0,,7,22,0.318,0.318,6,8,0.75,1,6,7,9,4,0,2,4,20,15.8
47,229,47,1988-02-10,CHI,@,NJN,L 84-93,*,37:00:00,10,23,0.435,0,2,0,10,21,0.476,0.435,14,15,0.933,2,2,4,4,1,3,3,3,34,25.2
48,230,48,1988-02-12,CHI,@,MIL,W 95-93,*,43:00:00,9,19,0.474,0,1,0,9,18,0.5,0.474,9,10,0.9,0,6,6,8,0,0,3,3,27,20.1
49,231,49,1988-02-13,CHI,@,DET,L 73-82,*,40:00:00,9,22,0.409,0,1,0,9,21,0.429,0.409,9,10,0.9,0,2,2,2,3,2,4,0,27,17.2
50,232,50,1988-02-15,CHI,,ATL,W 126-107,*,38:00:00,13,22,0.591,0,0,,13,22,0.591,0.591,6,8,0.75,3,10,13,8,5,2,2,2,32,35.3
51,233,51,1988-02-19,CHI,,SAC,W 111-90,*,38:00:00,19,27,0.704,0,0,,19,27,0.704,0.704,11,14,0.786,2,1,3,3,3,3,5,2,49,39.6
52,234,52,1988-02-21,CHI,@,CLE,L 111-113,*,45:00:00,16,31,0.516,0,2,0,16,29,0.552,0.516,14,15,0.933,1,3,4,9,3,1,3,3,46,37.7
53,235,53,1988-02-23,CHI,,SEA,W 104-97 (OT),*,48:00:00,11,29,0.379,0,0,,11,29,0.379,0.379,17,20,0.85,2,7,9,5,4,2,0,4,39,32.7
54,236,54,1988-02-26,CHI,,POR,L 96-104,*,43:00:00,21,34,0.618,0,2,0,21,32,0.656,0.618,10,12,0.833,2,6,8,3,2,3,6,5,52,37.2
55,237,55,1988-02-27,CHI,,MIL,L 91-94,*,44:00:00,16,27,0.593,0,0,,16,27,0.593,0.593,6,8,0.75,1,1,2,3,3,3,3,5,38,27.9
56,238,56,1988-02-29,CHI,@,PHI,L 101-102,*,46:00:00,13,22,0.591,0,0,,13,22,0.591,0.591,9,13,0.692,1,4,5,4,2,0,3,1,35,26.5
57,239,57,1988-03-03,CHI,,PHI,W 97-93,*,41:00:00,15,29,0.517,0,0,,15,29,0.517,0.517,6,9,0.667,0,10,10,7,3,2,5,4,36,26.2
58,240,58,1988-03-05,CHI,,LAC,W 100-76,*,27:00:00,9,13,0.692,0,0,,9,13,0.692,0.692,3,4,0.75,0,6,6,4,4,2,2,2,21,22.3
59,241,59,1988-03-07,CHI,@,NYK,L 98-110,*,44:00:00,12,24,0.5,0,2,0,12,22,0.545,0.5,14,16,0.875,1,9,10,3,1,0,4,4,38,26.1
60,242,60,1988-03-10,CHI,,LAL,W 128-107,*,42:00:00,17,34,0.5,0,1,0,17,33,0.515,0.5,4,4,1,5,4,9,7,3,1,2,2,38,31.5
61,243,61,1988-03-12,CHI,,SAS,W 112-92,*,34:00:00,9,22,0.409,0,0,,9,22,0.409,0.409,10,12,0.833,3,4,7,6,0,0,2,2,28,20.1
62,244,62,1988-03-15,CHI,,CLE,W 108-89,*,37:00:00,17,29,0.586,0,0,,17,29,0.586,0.586,4,7,0.571,4,2,6,1,2,1,2,2,38,27.3
63,245,63,1988-03-16,CHI,@,WSB,L 103-106,*,39:00:00,10,23,0.435,0,0,,10,23,0.435,0.435,5,5,1,3,1,4,5,0,2,3,2,25,16.4
64,246,64,1988-03-18,CHI,,BOS,W 113-103,*,42:00:00,19,32,0.594,1,2,0.5,18,30,0.6,0.609,11,11,1,2,3,5,9,5,1,1,4,50,46.9
65,247,65,1988-03-20,CHI,@,BOS,L 107-137,*,39:00:00,10,18,0.556,0,0,,10,18,0.556,0.556,6,8,0.75,0,4,4,7,1,1,5,4,26,17.8
66,248,66,1988-03-23,CHI,@,PHI,W 118-102,*,42:00:00,20,35,0.571,0,1,0,20,34,0.588,0.571,9,12,0.75,5,8,13,2,0,2,0,4,49,38.4
67,249,67,1988-03-25,CHI,@,CLE,W 111-110 (OT),*,48:00:00,14,29,0.483,0,0,,14,29,0.483,0.483,11,13,0.846,2,6,8,7,2,4,3,3,39,32.2
68,250,68,1988-03-26,CHI,,IND,W 109-100,*,42:00:00,16,27,0.593,0,2,0,16,25,0.64,0.593,6,9,0.667,0,3,3,2,3,4,6,2,38,25.6
69,251,69,1988-03-29,CHI,@,SEA,L 103-106,*,42:00:00,8,17,0.471,0,0,,8,17,0.471,0.471,10,12,0.833,1,3,4,4,2,2,6,3,26,17.1
70,252,70,1988-03-30,CHI,@,LAC,W 111-94,*,34:00:00,15,25,0.6,0,0,,15,25,0.6,0.6,6,6,1,2,4,6,4,6,0,2,3,36,32.7
