Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,685,1,1995-11-03,CHI,,CHH,W 105-91,*,39:00:00,16,29,0.552,3,7,0.429,13,22,0.591,0.603,7,9,0.778,1,5,6,7,0,0,1,4,42,31.8
2,686,2,1995-11-04,CHI,,BOS,W 107-85,*,21:00,5,12,0.417,0,1,0,5,11,0.455,0.417,5,7,0.714,0,0,0,3,3,1,0,4,15,12
3,687,3,1995-11-07,CHI,,TOR,W 117-108,*,40:00:00,13,19,0.684,3,4,0.75,10,15,0.667,0.763,9,9,1,1,3,4,5,4,0,1,2,38,37.2
4,688,4,1995-11-09,CHI,@,CLE,W 106-88,*,37:00:00,12,24,0.5,4,8,0.5,8,16,0.5,0.583,1,2,0.5,0,5,5,3,0,0,3,3,29,16
5,689,5,1995-11-11,CHI,,POR,W 110-106,*,40:00:00,11,23,0.478,0,2,0,11,21,0.524,0.478,14,15,0.933,2,1,3,7,1,1,3,3,36,28
6,690,6,1995-11-14,CHI,@,ORL,L 88-94,*,40:00:00,8,20,0.4,3,7,0.429,5,13,0.385,0.475,4,5,0.8,2,5,7,6,2,0,2,4,23,17.3
7,691,7,1995-11-15,CHI,,CLE,W 113-94,*,29:00:00,7,10,0.7,1,2,0.5,6,8,0.75,0.75,5,7,0.714,1,6,7,2,1,0,1,2,20,18.1
8,692,8,1995-11-17,CHI,,NJN,W 109-94,*,35:00:00,7,16,0.438,0,1,0,7,15,0.467,0.438,4,4,1,1,2,3,3,4,0,5,3,18,10.8
9,693,9,1995-11-21,CHI,@,DAL,W 108-102 (OT),*,45:00:00,12,25,0.48,0,2,0,12,23,0.522,0.48,12,13,0.923,0,8,8,5,2,2,0,3,36,31
10,694,10,1995-11-22,CHI,@,SAS,W 103-94,*,43:00:00,15,27,0.556,1,1,1,14,26,0.538,0.574,7,8,0.875,2,7,9,2,4,0,5,5,38,26.6
11,695,11,1995-11-24,CHI,@,UTA,W 90-85,*,40:00:00,9,21,0.429,2,5,0.4,7,16,0.438,0.476,14,17,0.824,0,8,8,6,1,0,4,3,34,24.1
12,696,12,1995-11-26,CHI,@,SEA,L 92-97,*,40:00:00,6,19,0.316,0,4,0,6,15,0.4,0.316,10,11,0.909,2,3,5,4,2,0,4,1,22,13.4
13,697,13,1995-11-27,CHI,@,POR,W 107-104,*,41:00:00,13,22,0.591,0,3,0,13,19,0.684,0.591,7,8,0.875,1,2,3,8,4,0,4,3,33,28.1
14,698,14,1995-11-30,CHI,@,VAN,W 94-88,*,39:00:00,14,26,0.538,0,2,0,14,24,0.583,0.538,1,2,0.5,1,2,3,4,3,0,2,1,29,20.7
