Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,8,1,1987-04-23,CHI,@,BOS,L 104-108,*,44:00:00,12,25,0.48,0,1,0,12,24,0.5,0.48,11,11,1,0,6,6,7,4,2,2,4,35,30.8
2,9,2,1987-04-26,CHI,@,BOS,L 96-105,*,45:00:00,14,29,0.483,2,3,0.667,12,26,0.462,0.517,12,14,0.857,1,3,4,4,0,4,4,3,42,28.5
3,10,3,1987-04-28,CHI,,BOS,L 94-105,*,39:00:00,9,30,0.3,0,1,0,9,29,0.31,0.3,12,14,0.857,6,5,11,7,2,1,2,4,30,21.5
,,,,,,,0-3,3,128,35,84,0.417,2,5,0.4,33,79,0.418,0.429,35,39,0.897,7,14,21,18,6,7,8,11,107,26.9
