Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2008-09,30,LAL,NBA,SG,82,82,2960,24.4,0.561,0.196,0.329,3.5,12.8,8.2,23.8,2.1,1,9.7,32.2,8.6,4,12.7,0.206,5.6,0.3,5.9,5.9,MVP-2DPOY-7ASNBA1DEF1
2009-10,31,LAL,NBA,SG,73,73,2835,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4,9.4,0.16,3.9,0.2,4.1,4.4,MVP-3DPOY-12ASNBA1DEF1
2010-11,32,LAL,NBA,SG,82,82,2779,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,0.178,5.4,-0.2,5.2,5,MVP-4DPOY-11ASNBA1DEF1
2011-12,33,LAL,NBA,SG,58,58,2232,21.9,0.527,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,4.2,2,6.2,0.132,4.2,-0.9,3.3,2.9,MVP-4ASNBA1DEF2
2012-13,34,LAL,NBA,SG,78,78,3013,23,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5,MVP-5ASNBA1
2013-14,35,LAL,NBA,SG,6,6,177,10.7,0.505,0.219,0.288,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,-0.5,0.1,-0.4,-0.097,-3.1,-2.1,-5.1,-0.1,AS
2014-15,36,LAL,NBA,SG,35,35,1207,17.6,0.477,0.258,0.338,2.3,16.5,9.1,29.9,2,0.5,13.5,34.9,-0.4,0.6,0.2,0.006,2,-1.7,0.3,0.7,AS
2015-16,37,LAL,NBA,SF,66,66,1863,14.9,0.469,0.42,0.252,2.3,12.3,7.1,19.1,1.7,0.5,9.4,32.2,-0.9,0.5,-0.4,-0.01,0.9,-2.4,-1.6,0.2,AS
,,,,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
20 Yrs,20 Yrs,20 Yrs,20 Yrs,,1346,1198,48637,22.9,0.55,0.212,0.382,3.5,12.7,8.1,24.2,2.1,1,11.6,31.8,122.1,50.7,172.7,0.17,4.6,-0.1,4.6,80.1,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,73,2963,22.9,0.55,0.212,0.382,3.5,12.7,8.1,24.2,2.1,1,11.6,31.8,7.4,3.1,10.5,0.17,4.6,-0.1,4.6,4.9,
